"pathway","name_for_plot","up_in","db_type"
"GO_CELL_ACTIVATION","Cell activation","KO","KEGG_GO"
"GO_SECRETION","Secretion","KO","KEGG_GO"
"GO_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","Response to external stimulus","KO","KEGG_GO"
"GO_LEUKOCYTE_MIGRATION","Leukocyte migration","KO","KEGG_GO"
"GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","Positive regulation of immune system","KO","KEGG_GO"
"GO_INFLAMMATORY_RESPONSE","Inflammatory response","KO","KEGG_GO"
"GO_IMMUNE_EFFECTOR_PROCESS","Immune effector process","KO","KEGG_GO"
"GSE41867_DAY6_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP","Effector vs. exhausted LCMV","KO","Imm_Lit"
"GSE9650_EXHAUSTED_VS_MEMORY_CD8_TCELL_UP","Exhausted vs. memory","KO","Imm_Lit"
"GSE23321_EFFECTOR_MEMORY_VS_NAIVE_CD8_TCELL_UP","Effector memory vs. naïve","KO","Imm_Lit"
"GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP","Effector vs. exhausted","KO","Imm_Lit"
"GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_UP","Effector vs. memory","KO","Imm_Lit"
"Wherry_cluster_1_up_in_exhaustion","Wherry exhaustion","KO","Imm_Lit"
"exhaustion_human_mel75_table_S13","Human exhaustion","KO","Imm_Lit"
