"pathway","name_for_plot","up_in","db_type"
"REACTOME_REGULATION_OF_IFNG_SIGNALING","Regulation of IFNg signaling","Pglyrp1-/-","KEGG_GO"
"KEGG_JAK_STAT_SIGNALING_PATHWAY","JAK/STAT signaling pathway","Pglyrp1-/-","KEGG_GO"
"REACTOME_INTERFERON_SIGNALING","Interferon signaling","Pglyrp1-/-","KEGG_GO"
"REACTOME_INTERFERON_GAMMA_SIGNALING","Interferon gamma signaling","Pglyrp1-/-","KEGG_GO"
"GO_REGULATION_OF_CELL_KILLING","Cell killing","Pglyrp1-/-","KEGG_GO"
"GO_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS","Response to cytokine stimulus","Pglyrp1-/-","KEGG_GO"
"GO_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION","Lymphocyte differentiation","Pglyrp1-/-","KEGG_GO"
"GO_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION","Interferon gamma production","Pglyrp1-/-","KEGG_GO"
"GO_LEUKOCYTE_MEDIATED_CYTOTOXICITY","Leukocyte-mediated cytotoxicity","Pglyrp1-/-","KEGG_GO"
"GO_T_CELL_MEDIATED_IMMUNITY","T cell-mediated immunity","Pglyrp1-/-","KEGG_GO"
"REACTOME_RRNA_PROCESSING","RRNA processing","WT","KEGG_GO"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","Eukaryotic translation initiation","WT","KEGG_GO"
"GO_RIBOSOME_BIOGENESIS","Ribosome biogenesis","WT","KEGG_GO"
"GO_TRANSLATIONAL_INITIATION","Translation initiation","WT","KEGG_GO"
"GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM","Protein localization to ER","WT","KEGG_GO"
"Asaf_IL-27","IL-27 signature","Pglyrp1-/-","Literature"
"signature_exhaustion_cd8_wherry_day15C_vs_day15A_OR_day30C_vs_day30A_de_strong_up","Exhaustion ","Pglyrp1-/-","Literature"
"exhausted_cd8_Tcells_vs_others","Exhaustion CD8 T cells","Pglyrp1-/-","Literature"
"Transitory vs. Stem-like (Hudson2019)","Transitory vs. stem-like","Pglyrp1-/-","Literature"
"Terminally Exhausted (Beltra2020)","Terminally exhausted","Pglyrp1-/-","Literature"
"Gaublomme_Th17_self_renewing_up","Self-renewing","WT","Literature"
"Miller_Cd8_Progenitor_Exhausted","Prognitor exhausted","WT","Literature"
"Best_RNA_processing_molecules_CD8+_T_cell","RNA processing ","WT","Literature"
