"database","pathway","name","direction","cluster"
"Kegg","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES","Complement and coagulation cascade","WT","Mono-MAC"
"Kegg","REACTOME_COMPLEMENT_CASCADE","Complement cascade","WT","Mono-MAC"
"Kegg","REACTOME_SIGNALING_BY_GPCR","Signaling by GPCR","WT","Mono-MAC"
"Kegg","REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING","IL-1 family signaling","WT","Mono-MAC"
"Kegg","REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION","Antigen processing cross presentation","WT","Mono-MAC"
"Kegg","REACTOME_INTERLEUKIN_1_PROCESSING","IL-1 processing","WT","Mono-MAC"
"Kegg","REACTOME_ACTIVATION_OF_C3_AND_C5","Activation of C3 and C5","WT","Mono-MAC"
"go","GO_REGULATION_OF_INFLAMMATORY_RESPONSE","Regulation of inflammatory response","WT","Mono-MAC"
"go","GO_INTERFERON_GAMMA_PRODUCTION","Interferon gamma production","WT","Mono-MAC"
"go","GO_INFLAMMATORY_RESPONSE","Inflammatory response","WT","Mono-MAC"
"go","GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN","Antigen processing and presentation","WT","Mono-MAC"
"go","GO_POSITIVE_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION","Positive regulation of antigen processing and presentation","WT","Mono-MAC"
"kegg","KEGG_P53_SIGNALING_PATHWAY","P53 signaling pathway","Pglyrp1-/-","Mono-MAC"
"kegg","REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ","Nonhomologous end joining","Pglyrp1-/-","Mono-MAC"
"go","GO_HOMOLOGOUS_RECOMBINATION","Homologous recombination","Pglyrp1-/-","Mono-MAC"
"kegg","REACTOME_NEUTROPHIL_DEGRANULATION","Neutrophil degranulation","WT","Neutrophil"
"go","GO_SPECIFIC_GRANULE","Specific granule","WT","Neutrophil"
"go","GO_CELL_KILLING","Cell killing","WT","Neutrophil"
"go","GO_DEFENSE_RESPONSE_TO_BACTERIUM","Defense response to bacterium","WT","Neutrophil"
"go","GO_REGULATION_OF_INFLAMMATORY_RESPONSE","Regulation of inflammatory response","WT","Neutrophil"
"go","GO_REGULATION_OF_LYMPHOCYTE_MIGRATION","Regulation of lymphocyte migration","WT","Neutrophil"
"go","GO_POSITIVE_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION","Positive regulation of antigen processing and presentation","WT","Neutrophil"
"go","GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION","Regulation of  antigen processing and presentation","WT","Neutrophil"
"kegg","REACTOME_INTERFERON_SIGNALING","Interferon signaling","Pglyrp1-/-","Neutrophil"
"kegg","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","Interferon alpha beta signaling","Pglyrp1-/-","Neutrophil"
"go","GO_INTERFERON_ALPHA_PRODUCTION","Interferon alpha production","Pglyrp1-/-","Neutrophil"
"go","GO_MACROPHAGE_APOPTOTIC_PROCESS","Macrophage apoptotic process","Pglyrp1-/-","Neutrophil"
"go","GO_MYELOID_CELL_HOMEOSTASIS","Myleoid cell homeostasis","Pglyrp1-/-","Neutrophil"
"go","GO_RESPONSE_TO_TYPE_I_INTERFERON","Response to type 1 interferon","Pglyrp1-/-","Neutrophil"
